Date,zz800
2005-01-05,0.011872201810152472
2005-01-06,-0.009401592645865377
2005-01-07,0.0014976435182556536
2005-01-10,0.00961128609800821
2005-01-11,0.002920217492022425
2005-01-12,-0.00018298206775735348
2005-01-13,0.0013161118695088625
2005-01-14,-0.009809923983576274
2005-01-17,-0.021673194413203808
2005-01-18,0.009502826000441278
2005-01-19,-0.00691423791719048
2005-01-20,-0.012105486703093192
2005-01-21,0.024245313856577026
2005-01-24,0.01709035987836005
2005-01-25,-0.002700101828414625
2005-01-26,-0.008957906855804665
2005-01-27,-0.015799834388374512
2005-01-28,-0.009664753850800343
2005-01-31,-0.019490138232786225
2005-02-01,-0.0021126976620677858
2005-02-02,0.05403926890293032
2005-02-03,-0.01525932094965654
2005-02-04,0.02219927459626292
2005-02-16,0.007790962004446511
2005-02-17,-0.0007545321504066617
2005-02-18,-0.013864702806379414
2005-02-21,0.019016177686906662
2005-02-22,0.022230845718088643
2005-02-23,0.0014064222106524582
2005-02-24,0.0023960482566434127
2005-02-25,0.0008381519855347187
2005-02-28,-0.00560351209831722
2005-03-01,-0.00266090652598927
2005-03-02,-0.014426815009859541
2005-03-03,0.005990550865088595
2005-03-04,-0.005081691341764061
2005-03-07,0.005418213768336733
2005-03-08,0.019638184293949038
2005-03-09,-0.0007621534718248446
2005-03-10,-0.02402470685079749
2005-03-11,0.004530793965363822
2005-03-14,0.0020051474257978268
2005-03-15,-0.015993452607090952
2005-03-16,-0.010181203184380205
2005-03-17,-0.011093117814867326
2005-03-18,-0.016465866711551813
2005-03-21,0.0023794231445295466
2005-03-22,-0.021133590663700463
2005-03-23,-0.0036165225276151287
2005-03-24,0.007484965216740136
2005-03-25,-0.0019238035626999441
2005-03-28,-0.0042398965561720745
2005-03-29,-0.005886144338495991
2005-03-30,-0.02222836675216033
2005-03-31,0.006178036225265471
2005-04-01,0.03724658078563592
2005-04-04,-0.016994761419296126
2005-04-05,-0.007470946319867222
2005-04-06,0.018784967769532424
2005-04-07,0.012208495918316187
2005-04-08,0.018796104162775773
2005-04-11,-0.006115340714009987
2005-04-12,-0.01847928544860722
2005-04-13,0.02329883998957616
2005-04-14,-0.01422553473846966
2005-04-15,-0.016118756567767956
2005-04-18,-0.011297780195409834
2005-04-19,0.0019531497979135004
2005-04-20,-0.016996027396392388
2005-04-21,-0.010695129719806127
2005-04-22,-0.0068712775603054785
2005-04-25,-0.012179001472763741
2005-04-26,0.009949439271783822
2005-04-27,-0.01332994321924208
2005-04-28,0.01865390639057907
2005-04-29,-0.011586674343138205
2005-05-09,-0.02753452433747905
2005-05-10,0.003126478298996149
2005-05-11,-0.011157364527813685
2005-05-12,-0.014657024930437525
2005-05-13,0.003708316261924472
2005-05-16,-0.012355857960248516
2005-05-17,0.00852138014043069
2005-05-18,0.0031450082137072233
2005-05-19,0.00042473214099736367
2005-05-20,-0.003295771487007215
2005-05-23,-0.025665280086165976
2005-05-24,0.00891862691026213
2005-05-25,0.00023967904260624448
2005-05-26,-0.013026916707292058
2005-05-27,-0.00958699154321152
2005-05-30,0.0074856572199339935
2005-05-31,-6.472367783916244e-05
2005-06-01,-0.021839661880799888
2005-06-02,-0.01990093647140712
2005-06-03,-0.0018279524182235327
2005-06-06,0.02264699250945701
2005-06-07,-0.0011133975159843825
2005-06-08,0.08103140239677953
2005-06-09,0.00815909382220581
2005-06-10,-0.020262470380946532
2005-06-13,-0.002412787659756721
2005-06-14,-0.013115361768945009
2005-06-15,-0.021333678610213846
2005-06-16,0.01235408119724335
2005-06-17,-0.0004991999849298656
2005-06-20,0.029301418836542362
2005-06-21,-0.010902827845870268
2005-06-22,0.003856375747295804
2005-06-23,-0.009060459926972242
2005-06-24,0.004678076893998906
2005-06-27,0.02141409183157217
2005-06-28,-0.015002142191654744
2005-06-29,-0.005603897643141065
2005-06-30,-0.024289258570092898
2005-07-01,-0.026466534942799824
2005-07-04,-0.006736820561799584
2005-07-05,-0.0076386061138283825
2005-07-06,-0.006493602800134446
2005-07-07,0.003070224544380107
2005-07-08,-0.022270369754860964
2005-07-11,-0.008030584973127808
2005-07-12,0.033970563789113006
2005-07-13,-0.007323805707671105
2005-07-14,0.002613763495516341
2005-07-15,-0.01459171044718266
2005-07-18,-0.013714504765903857
2005-07-19,0.004470992248319705
2005-07-20,0.007765544453637085
2005-07-21,7.830744766978981e-05
2005-07-22,0.01988727136331425
2005-07-25,-0.003485809103967452
2005-07-26,0.02310172787653242
2005-07-27,0.0196821224870527
2005-07-28,-0.0035686166607706853
2005-07-29,-0.003200066942005364
2005-08-01,0.0047873284500663535
2005-08-02,0.01440336094335559
2005-08-03,0.007085306049453566
2005-08-04,-0.00569776271978506
2005-08-05,0.02463948450955433
2005-08-08,0.006992774438875139
2005-08-09,0.009296912454833441
2005-08-10,0.008919051568026859
2005-08-11,0.013947506737790771
2005-08-12,-0.016830597717832685
2005-08-15,0.023438954838449044
2005-08-16,-0.007408617189658019
2005-08-17,0.011045135756225122
2005-08-18,-0.03241953822746546
2005-08-19,0.00186933400460787
2005-08-22,0.009939912093409388
2005-08-23,-0.011198688019813607
2005-08-24,0.008999037590388115
2005-08-25,0.002785440565899577
2005-08-26,-0.0002352851968813185
2005-08-29,-0.01124727155513261
2005-08-30,-0.0035240143983737977
2005-08-31,0.016156401940307763
2005-09-01,0.01964936828584385
2005-09-02,0.0048040206495316715
2005-09-05,0.007470054541184323
2005-09-06,-0.018958665662215046
2005-09-07,0.020703516924539308
2005-09-08,0.0023766025900118226
2005-09-09,-0.007909677419354888
